RESULTS FOR java -jar target/searcher.jar -t custom -w true -tr true -p true -s true -n 3
  0 | How use Django for web development  P@k = 0.10000; R@k = 0.13333; A@k = 0.00427
 29 | How to get my regex to work         P@k = 0.05000; R@k = 0.09091; A@k = 0.00220
 30 | Neural Networks tensors in keras    P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 31 | Beautifulsoup web scrapers          P@k = 0.05000; R@k = 0.14286; A@k = 0.00211
 32 | New to programming                  P@k = 0.05000; R@k = 0.04545; A@k = 0.00217
 98 | Python                              P@k = 1.00000; R@k = 0.06192; A@k = 0.10471
 99 | C++                                 P@k = 0.90000; R@k = 0.10112; A@k = 0.05325
Weighted Precision@20 = 0.1476190476190476
Weighted Recall@20    = 0.30666785687089915
Weighted Accuracy@20    = 0.06112871870329445


RESULTS FOR java -jar target/searcher.jar -t custom -w true -tr true -p true -s true -n 3 --rocchio true
  0 | How use Django for web development  P@k = 0.05000; R@k = 0.06667; A@k = 0.00214
  1 | Recursion speed                     P@k = 0.05000; R@k = 0.50000; A@k = 0.00208
  2 | Templates usage c++                 P@k = 0.10000; R@k = 0.13333; A@k = 0.00426
  3 | How to loop over data               P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  4 | Python Tkinter button not working   P@k = 0.05000; R@k = 0.33333; A@k = 0.00209
  5 | Issues with Qt                      P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  6 | Drawing in PyGame on collision      P@k = 0.15000; R@k = 1.00000; A@k = 0.00621
  7 | Python Opencv cannot detect         P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  8 | How to read and write to a file     P@k = 0.15000; R@k = 0.33333; A@k = 0.00629
  9 | Using nested dictionary             P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 10 | Computing with timestamps           P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 11 | Lamdba not working                  P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 12 | How to use class inheritance        P@k = 0.05000; R@k = 0.25000; A@k = 0.00209
 13 | Using class methods                 P@k = 0.10000; R@k = 0.33333; A@k = 0.00418
 14 | Class private members               P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 15 | How can you use lists in python     P@k = 0.20000; R@k = 0.40000; A@k = 0.00837
 16 | Manipulating a list                 P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 17 | How to work with sockets            P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 18 | REST API requests                   P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 19 | Create testing environment in python P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 20 | Using nested JSON                   P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 21 | Operations on Pandas dataframe      P@k = 0.10000; R@k = 0.08000; A@k = 0.00435
 22 | The best way to implement a Numpy array P@k = 0.15000; R@k = 0.30000; A@k = 0.00629
 23 | Multithreading and synchonization   P@k = 0.05000; R@k = 0.10000; A@k = 0.00212
 24 | Sorting Algorithms                  P@k = 0.05000; R@k = 0.33333; A@k = 0.00209
 25 | What’s the difference between passing a parameter by reference or by value P@k = 0.05000; R@k = 0.50000; A@k = 0.00208
 26 | Pointers in C++                     P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 27 | How to Plot data in Python          P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 28 | Sql database                        P@k = 0.05000; R@k = 0.11111; A@k = 0.00211
 29 | How to get my regex to work         P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 30 | Neural Networks tensors in keras    P@k = 0.05000; R@k = 0.12500; A@k = 0.00211
 31 | Beautifulsoup web scrapers          P@k = 0.10000; R@k = 0.28571; A@k = 0.00419
 32 | New to programming                  P@k = 0.05000; R@k = 0.04545; A@k = 0.00217
 98 | Python                              P@k = 1.00000; R@k = 0.06192; A@k = 0.10152
 99 | C++                                 P@k = 0.75000; R@k = 0.08427; A@k = 0.04518
Weighted Precision@20 = 0.0942857142857143
Weighted Recall@20    = 0.1536229269479596
Weighted Accuracy@20    = 0.0060549908373785525


RESULTS FOR java -jar target/searcher.jar -t custom -w true -tr true -p true -s true -n 4
  0 | How use Django for web development  P@k = 0.10000; R@k = 0.13333; A@k = 0.12500
  1 | Recursion speed                     P@k = 0.10000; R@k = 1.00000; A@k = 0.00438
  2 | Templates usage c++                 P@k = 0.65000; R@k = 0.86667; A@k = 0.04127
  3 | How to loop over data               P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  4 | Python Tkinter button not working   P@k = 0.10000; R@k = 0.66667; A@k = 0.03175
  5 | Issues with Qt                      P@k = 0.64286; R@k = 0.56250; A@k = 1.00000
  6 | Drawing in PyGame on collision      P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  7 | Python Opencv cannot detect         P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  8 | How to read and write to a file     P@k = 0.25000; R@k = 0.55556; A@k = 0.01250
  9 | Using nested dictionary             P@k = 0.05000; R@k = 0.50000; A@k = 0.01923
 10 | Computing with timestamps           P@k = 0.05000; R@k = 0.25000; A@k = 0.00294
 11 | Lamdba not working                  P@k = 0.15000; R@k = 1.00000; A@k = 0.00787
 12 | How to use class inheritance        P@k = 0.15000; R@k = 0.75000; A@k = 0.00682
 13 | Using class methods                 P@k = 0.20000; R@k = 0.66667; A@k = 0.00909
 14 | Class private members               P@k = 0.10000; R@k = 0.66667; A@k = 0.00909
 15 | How can you use lists in python     P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 16 | Manipulating a list                 P@k = 0.15000; R@k = 0.60000; A@k = 0.00656
 17 | How to work with sockets            P@k = 0.15000; R@k = 0.75000; A@k = 0.00798
 18 | REST API requests                   P@k = 0.15000; R@k = 0.60000; A@k = 0.00870
 19 | Create testing environment in python P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 20 | Using nested JSON                   P@k = 0.20000; R@k = 1.00000; A@k = 0.09756
 21 | Operations on Pandas dataframe      P@k = 0.30000; R@k = 0.24000; A@k = 0.05172
 22 | The best way to implement a Numpy array P@k = 0.25000; R@k = 0.50000; A@k = 0.04132
 23 | Multithreading and synchonization   P@k = 0.20000; R@k = 0.40000; A@k = 0.01325
 24 | Sorting Algorithms                  P@k = 0.15000; R@k = 1.00000; A@k = 0.00980
 25 | What’s the difference between passing a parameter by reference or by value P@k = 0.05000; R@k = 0.50000; A@k = 0.01010
 26 | Pointers in C++                     P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 27 | How to Plot data in Python          P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 28 | Sql database                        P@k = 0.37500; R@k = 0.66667; A@k = 1.00000
 29 | How to get my regex to work         P@k = 0.05000; R@k = 0.09091; A@k = 0.00279
 30 | Neural Networks tensors in keras    P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 31 | Beautifulsoup web scrapers          P@k = 0.30000; R@k = 0.85714; A@k = 0.10000
 32 | New to programming                  P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 98 | Python                              P@k = 0.95000; R@k = 0.05882; A@k = 0.90476
 99 | C++                                 P@k = 0.95000; R@k = 0.10674; A@k = 0.05723
Weighted Precision@20 = 0.19336734693877553
Weighted Recall@20    = 0.42823826493484696
Weighted Accuracy@20    = 0.10233481822763336


RESULTS FOR java -jar target/searcher.jar -t custom -w true -tr true -p true -s true -n 4 --rocchio true
  0 | How use Django for web development  P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  1 | Recursion speed                     P@k = 0.05000; R@k = 0.50000; A@k = 0.00208
  2 | Templates usage c++                 P@k = 0.15000; R@k = 0.20000; A@k = 0.00637
  3 | How to loop over data               P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  4 | Python Tkinter button not working   P@k = 0.05000; R@k = 0.33333; A@k = 0.00209
  5 | Issues with Qt                      P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  6 | Drawing in PyGame on collision      P@k = 0.15000; R@k = 1.00000; A@k = 0.00621
  7 | Python Opencv cannot detect         P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  8 | How to read and write to a file     P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  9 | Using nested dictionary             P@k = 0.05000; R@k = 0.50000; A@k = 0.00208
 10 | Computing with timestamps           P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 11 | Lamdba not working                  P@k = 0.05000; R@k = 0.33333; A@k = 0.00209
 12 | How to use class inheritance        P@k = 0.10000; R@k = 0.50000; A@k = 0.00417
 13 | Using class methods                 P@k = 0.20000; R@k = 0.66667; A@k = 0.00828
 14 | Class private members               P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 15 | How can you use lists in python     P@k = 0.15000; R@k = 0.30000; A@k = 0.00630
 16 | Manipulating a list                 P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 17 | How to work with sockets            P@k = 0.05000; R@k = 0.25000; A@k = 0.00209
 18 | REST API requests                   P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 19 | Create testing environment in python P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 20 | Using nested JSON                   P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 21 | Operations on Pandas dataframe      P@k = 0.60000; R@k = 0.48000; A@k = 0.02500
 22 | The best way to implement a Numpy array P@k = 0.40000; R@k = 0.80000; A@k = 0.01643
 23 | Multithreading and synchonization   P@k = 0.10000; R@k = 0.20000; A@k = 0.00422
 24 | Sorting Algorithms                  P@k = 0.05000; R@k = 0.33333; A@k = 0.00209
 25 | What’s the difference between passing a parameter by reference or by value P@k = 0.05000; R@k = 0.50000; A@k = 0.00208
 26 | Pointers in C++                     P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 27 | How to Plot data in Python          P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 28 | Sql database                        P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 29 | How to get my regex to work         P@k = 0.05000; R@k = 0.09091; A@k = 0.00212
 30 | Neural Networks tensors in keras    P@k = 0.20000; R@k = 0.50000; A@k = 0.00833
 31 | Beautifulsoup web scrapers          P@k = 0.10000; R@k = 0.28571; A@k = 0.00419
 32 | New to programming                  P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 98 | Python                              P@k = 0.95000; R@k = 0.05882; A@k = 0.09744
 99 | C++                                 P@k = 0.80000; R@k = 0.08989; A@k = 0.04790
Weighted Precision@20 = 0.12285714285714285
Weighted Recall@20    = 0.2263428918043213
Weighted Accuracy@20    = 0.0071876548243555586


RESULTS FOR java -jar target/searcher.jar -t custom -w true -tr true -p true -s true -n 5
  0 | How use Django for web development  P@k = 0.09091; R@k = 0.06667; A@k = 1.00000
  1 | Recursion speed                     P@k = 0.10000; R@k = 1.00000; A@k = 0.00481
  2 | Templates usage c++                 P@k = 0.65000; R@k = 0.86667; A@k = 0.05098
  3 | How to loop over data               P@k = 0.05000; R@k = 0.16667; A@k = 0.00556
  4 | Python Tkinter button not working   P@k = 0.10000; R@k = 0.66667; A@k = 0.03846
  5 | Issues with Qt                      P@k = 0.35000; R@k = 0.43750; A@k = 0.07778
  6 | Drawing in PyGame on collision      P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  7 | Python Opencv cannot detect         P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  8 | How to read and write to a file     P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  9 | Using nested dictionary             P@k = 0.10000; R@k = 1.00000; A@k = 0.18182
 10 | Computing with timestamps           P@k = 0.10000; R@k = 0.50000; A@k = 0.00576
 11 | Lamdba not working                  P@k = 0.10000; R@k = 0.66667; A@k = 0.01681
 12 | How to use class inheritance        P@k = 0.10000; R@k = 0.50000; A@k = 0.00976
 13 | Using class methods                 P@k = 0.20000; R@k = 0.66667; A@k = 0.01818
 14 | Class private members               P@k = 0.10000; R@k = 0.66667; A@k = 0.00794
 15 | How can you use lists in python     P@k = 0.10000; R@k = 0.20000; A@k = 0.03125
 16 | Manipulating a list                 P@k = 0.05000; R@k = 0.20000; A@k = 0.00215
 17 | How to work with sockets            P@k = 0.10000; R@k = 0.50000; A@k = 0.00943
 18 | REST API requests                   P@k = 0.10000; R@k = 0.40000; A@k = 0.01099
 19 | Create testing environment in python P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 20 | Using nested JSON                   P@k = 0.15000; R@k = 0.75000; A@k = 0.00993
 21 | Operations on Pandas dataframe      P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 22 | The best way to implement a Numpy array P@k = 0.30000; R@k = 0.60000; A@k = 0.18182
 23 | Multithreading and synchonization   P@k = 0.30000; R@k = 0.60000; A@k = 0.02098
 24 | Sorting Algorithms                  P@k = 0.10000; R@k = 0.66667; A@k = 0.08000
 25 | What’s the difference between passing a parameter by reference or by value P@k = 0.05000; R@k = 0.50000; A@k = 0.01351
 26 | Pointers in C++                     P@k = 0.35000; R@k = 0.77778; A@k = 0.03365
 27 | How to Plot data in Python          P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 28 | Sql database                        P@k = 0.50000; R@k = 0.66667; A@k = 1.00000
 29 | How to get my regex to work         P@k = 0.20000; R@k = 0.36364; A@k = 0.04651
 30 | Neural Networks tensors in keras    P@k = 1.00000; R@k = 0.12500; A@k = 1.00000
 31 | Beautifulsoup web scrapers          P@k = 0.15000; R@k = 0.42857; A@k = 0.04762
 32 | New to programming                  P@k = 0.10000; R@k = 0.09091; A@k = 0.00494
 98 | Python                              P@k = 0.95000; R@k = 0.05882; A@k = 0.90476
 99 | C++                                 P@k = 1.00000; R@k = 0.11236; A@k = 0.05917
Weighted Precision@20 = 0.21545454545454545
Weighted Recall@20    = 0.40698793545337786
Weighted Accuracy@20    = 0.13927343631198189


RESULTS FOR java -jar target/searcher.jar -t custom -w true -tr true -p true -s true -n 5 --rocchio true
  0 | How use Django for web development  P@k = 0.30000; R@k = 0.40000; A@k = 0.01258
  1 | Recursion speed                     P@k = 0.05000; R@k = 0.50000; A@k = 0.00208
  2 | Templates usage c++                 P@k = 0.30000; R@k = 0.40000; A@k = 0.01258
  3 | How to loop over data               P@k = 0.05000; R@k = 0.16667; A@k = 0.00210
  4 | Python Tkinter button not working   P@k = 0.10000; R@k = 0.66667; A@k = 0.00416
  5 | Issues with Qt                      P@k = 0.05000; R@k = 0.06250; A@k = 0.00215
  6 | Drawing in PyGame on collision      P@k = 0.15000; R@k = 1.00000; A@k = 0.00621
  7 | Python Opencv cannot detect         P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  8 | How to read and write to a file     P@k = 0.20000; R@k = 0.44444; A@k = 0.00835
  9 | Using nested dictionary             P@k = 0.10000; R@k = 1.00000; A@k = 0.00420
 10 | Computing with timestamps           P@k = 0.05000; R@k = 0.25000; A@k = 0.00209
 11 | Lamdba not working                  P@k = 0.05000; R@k = 0.33333; A@k = 0.00209
 12 | How to use class inheritance        P@k = 0.05000; R@k = 0.25000; A@k = 0.00209
 13 | Using class methods                 P@k = 0.05000; R@k = 0.16667; A@k = 0.00210
 14 | Class private members               P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 15 | How can you use lists in python     P@k = 0.10000; R@k = 0.20000; A@k = 0.00422
 16 | Manipulating a list                 P@k = 0.05000; R@k = 0.20000; A@k = 0.00210
 17 | How to work with sockets            P@k = 0.05000; R@k = 0.25000; A@k = 0.00209
 18 | REST API requests                   P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 19 | Create testing environment in python P@k = 0.05000; R@k = 0.33333; A@k = 0.00209
 20 | Using nested JSON                   P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 21 | Operations on Pandas dataframe      P@k = 0.55000; R@k = 0.44000; A@k = 0.02306
 22 | The best way to implement a Numpy array P@k = 0.30000; R@k = 0.60000; A@k = 0.01242
 23 | Multithreading and synchonization   P@k = 0.15000; R@k = 0.30000; A@k = 0.00630
 24 | Sorting Algorithms                  P@k = 0.05000; R@k = 0.33333; A@k = 0.00209
 25 | What’s the difference between passing a parameter by reference or by value P@k = 0.05000; R@k = 0.50000; A@k = 0.00208
 26 | Pointers in C++                     P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 27 | How to Plot data in Python          P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 28 | Sql database                        P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 29 | How to get my regex to work         P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 30 | Neural Networks tensors in keras    P@k = 0.30000; R@k = 0.75000; A@k = 0.01240
 31 | Beautifulsoup web scrapers          P@k = 0.15000; R@k = 0.42857; A@k = 0.00626
 32 | New to programming                  P@k = 0.05000; R@k = 0.04545; A@k = 0.00217
 98 | Python                              P@k = 0.95000; R@k = 0.05882; A@k = 0.09744
 99 | C++                                 P@k = 0.30000; R@k = 0.03371; A@k = 0.01911
Weighted Precision@20 = 0.13142857142857142
Weighted Recall@20    = 0.28895719465859204
Weighted Accuracy@20    = 0.0073315009532457735


RESULTS FOR java -jar target/searcher.jar -t custom -w true -tr true -p true -s true -n 6
  0 | How use Django for web development  P@k = 0.55556; R@k = 0.33333; A@k = 1.00000
  1 | Recursion speed                     P@k = 0.10000; R@k = 1.00000; A@k = 0.00498
  2 | Templates usage c++                 P@k = 0.75000; R@k = 1.00000; A@k = 0.06122
  3 | How to loop over data               P@k = 0.20000; R@k = 0.66667; A@k = 0.09302
  4 | Python Tkinter button not working   P@k = 0.15000; R@k = 1.00000; A@k = 0.04286
  5 | Issues with Qt                      P@k = 0.55000; R@k = 0.68750; A@k = 0.57895
  6 | Drawing in PyGame on collision      P@k = 1.00000; R@k = 1.00000; A@k = 1.00000
  7 | Python Opencv cannot detect         P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  8 | How to read and write to a file     P@k = 0.10000; R@k = 0.22222; A@k = 0.00671
  9 | Using nested dictionary             P@k = 0.16667; R@k = 0.50000; A@k = 1.00000
 10 | Computing with timestamps           P@k = 0.12500; R@k = 0.50000; A@k = 1.00000
 11 | Lamdba not working                  P@k = 0.15000; R@k = 1.00000; A@k = 0.30000
 12 | How to use class inheritance        P@k = 0.15000; R@k = 0.75000; A@k = 0.01442
 13 | Using class methods                 P@k = 0.20000; R@k = 0.66667; A@k = 0.02395
 14 | Class private members               P@k = 0.10000; R@k = 0.66667; A@k = 0.01042
 15 | How can you use lists in python     P@k = 0.10000; R@k = 0.20000; A@k = 0.01290
 16 | Manipulating a list                 P@k = 0.10000; R@k = 0.40000; A@k = 0.00500
 17 | How to work with sockets            P@k = 0.15000; R@k = 0.75000; A@k = 0.01261
 18 | REST API requests                   P@k = 0.20000; R@k = 0.80000; A@k = 0.06780
 19 | Create testing environment in python P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 20 | Using nested JSON                   P@k = 0.42857; R@k = 0.75000; A@k = 1.00000
 21 | Operations on Pandas dataframe      P@k = 0.57143; R@k = 0.32000; A@k = 1.00000
 22 | The best way to implement a Numpy array P@k = 0.25000; R@k = 0.50000; A@k = 1.00000
 23 | Multithreading and synchonization   P@k = 0.40000; R@k = 0.80000; A@k = 0.04469
 24 | Sorting Algorithms                  P@k = 0.10000; R@k = 0.66667; A@k = 0.10526
 25 | What’s the difference between passing a parameter by reference or by value P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 26 | Pointers in C++                     P@k = 0.30000; R@k = 0.66667; A@k = 0.01617
 27 | How to Plot data in Python          P@k = 0.05000; R@k = 0.16667; A@k = 0.01176
 28 | Sql database                        P@k = 0.37500; R@k = 0.33333; A@k = 1.00000
 29 | How to get my regex to work         P@k = 0.30000; R@k = 0.54545; A@k = 0.60000
 30 | Neural Networks tensors in keras    P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 31 | Beautifulsoup web scrapers          P@k = 0.10000; R@k = 0.28571; A@k = 0.00897
 32 | New to programming                  P@k = 0.05000; R@k = 0.04545; A@k = 0.00372
 98 | Python                              P@k = 0.95000; R@k = 0.05882; A@k = 0.90476
 99 | C++                                 P@k = 1.00000; R@k = 0.11236; A@k = 0.06042
Weighted Precision@20 = 0.2777777777777777
Weighted Recall@20    = 0.4969770098710236
Weighted Accuracy@20    = 0.3140171303848639


RESULTS FOR java -jar target/searcher.jar -t custom -w true -tr true -p true -s true -n 6 --rocchio true
  0 | How use Django for web development  P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  1 | Recursion speed                     P@k = 0.10000; R@k = 1.00000; A@k = 0.00415
  2 | Templates usage c++                 P@k = 0.35000; R@k = 0.46667; A@k = 0.01461
  3 | How to loop over data               P@k = 0.05000; R@k = 0.16667; A@k = 0.00210
  4 | Python Tkinter button not working   P@k = 0.05000; R@k = 0.33333; A@k = 0.00209
  5 | Issues with Qt                      P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  6 | Drawing in PyGame on collision      P@k = 0.15000; R@k = 1.00000; A@k = 0.00622
  7 | Python Opencv cannot detect         P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  8 | How to read and write to a file     P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  9 | Using nested dictionary             P@k = 0.10000; R@k = 1.00000; A@k = 0.00421
 10 | Computing with timestamps           P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 11 | Lamdba not working                  P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 12 | How to use class inheritance        P@k = 0.20000; R@k = 1.00000; A@k = 0.00826
 13 | Using class methods                 P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 14 | Class private members               P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 15 | How can you use lists in python     P@k = 0.10000; R@k = 0.20000; A@k = 0.00422
 16 | Manipulating a list                 P@k = 0.05000; R@k = 0.20000; A@k = 0.00210
 17 | How to work with sockets            P@k = 0.05000; R@k = 0.25000; A@k = 0.00209
 18 | REST API requests                   P@k = 0.05000; R@k = 0.20000; A@k = 0.00210
 19 | Create testing environment in python P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 20 | Using nested JSON                   P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 21 | Operations on Pandas dataframe      P@k = 0.75000; R@k = 0.60000; A@k = 0.03099
 22 | The best way to implement a Numpy array P@k = 0.25000; R@k = 0.50000; A@k = 0.01040
 23 | Multithreading and synchonization   P@k = 0.15000; R@k = 0.30000; A@k = 0.00630
 24 | Sorting Algorithms                  P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 25 | What’s the difference between passing a parameter by reference or by value P@k = 0.05000; R@k = 0.50000; A@k = 0.00208
 26 | Pointers in C++                     P@k = 0.10000; R@k = 0.22222; A@k = 0.00420
 27 | How to Plot data in Python          P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 28 | Sql database                        P@k = 0.10000; R@k = 0.22222; A@k = 0.00420
 29 | How to get my regex to work         P@k = 0.05000; R@k = 0.09091; A@k = 0.00212
 30 | Neural Networks tensors in keras    P@k = 0.40000; R@k = 1.00000; A@k = 0.01656
 31 | Beautifulsoup web scrapers          P@k = 0.15000; R@k = 0.42857; A@k = 0.00626
 32 | New to programming                  P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
 98 | Python                              P@k = 0.85000; R@k = 0.05263; A@k = 0.08901
 99 | C++                                 P@k = 0.40000; R@k = 0.04494; A@k = 0.02516
Weighted Precision@20 = 0.12857142857142856
Weighted Recall@20    = 0.27937620085039194
Weighted Accuracy@20    = 0.007126809583994847


RESULTS FOR java -jar target/searcher.jar -t custom -w true -tr true -p true -s true -n 7
  0 | How use Django for web development  P@k = 0.29412; R@k = 0.33333; A@k = 1.00000
  1 | Recursion speed                     P@k = 0.10000; R@k = 1.00000; A@k = 0.00621
  2 | Templates usage c++                 P@k = 0.75000; R@k = 1.00000; A@k = 0.48387
  3 | How to loop over data               P@k = 0.15000; R@k = 0.50000; A@k = 0.01875
  4 | Python Tkinter button not working   P@k = 0.33333; R@k = 1.00000; A@k = 1.00000
  5 | Issues with Qt                      P@k = 0.38889; R@k = 0.43750; A@k = 1.00000
  6 | Drawing in PyGame on collision      P@k = 0.10000; R@k = 0.66667; A@k = 0.08333
  7 | Python Opencv cannot detect         P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  8 | How to read and write to a file     P@k = 0.00000; R@k = 0.00000; A@k = 0.00000
  9 | Using nested dictionary             P@k = 0.10000; R@k = 1.00000; A@k = 0.25000
 10 | Computing with timestamps           P@k = 0.07143; R@k = 0.25000; A@k = 1.00000
 11 | Lamdba not working                  P@k = 0.15000; R@k = 1.00000; A@k = 0.04545
 12 | How to use class inheritance        P@k = 0.10000; R@k = 0.50000; A@k = 0.02041
 13 | Using class methods                 P@k = 0.20000; R@k = 0.66667; A@k = 0.04819
 14 | Class private members               P@k = 0.10000; R@k = 0.66667; A@k = 0.02174
 15 | How can you use lists in python     P@k = 0.10000; R@k = 0.20000; A@k = 0.01562
 16 | Manipulating a list                 P@k = 0.05000; R@k = 0.20000; A@k = 0.00270
 17 | How to work with sockets            P@k = 0.10000; R@k = 0.50000; A@k = 0.10000
 18 | REST API requests                   P@k = 0.10000; R@k = 0.40000; A@k = 0.06667
